Song Clean,ARTIST CLEAN,Release Year,COMBINED,First?,Year?,PlayCount,F*G
Seagull,Bad Company,1974,Seagull by Bad Company,1,1,1,1
Shooting Star,Bad Company,1975,Shooting Star by Bad Company,1,1,62,62
"Silver, Blue And Gold",Bad Company,,"Silver, Blue And Gold by Bad Company",1,0,11,0
When I See You Smile,Bad English,1989,When I See You Smile by Bad English,1,1,1,1
No Matter What,Badfinger,1970,No Matter What by Badfinger,1,1,2,2
Walks Like A Woman,Baton Rouge,,Walks Like A Woman by Baton Rouge,1,0,1,0
(You Gotta) Fight for Your Right (To Party),Beastie Boys,1986,(You Gotta) Fight for Your Right (To Party) by Beastie Boys,1,1,4,4
No Sleep Till Brooklyn,Beastie Boys,1986,No Sleep Till Brooklyn by Beastie Boys,1,1,3,3
Loser,Beck,1994,Loser by Beck,1,1,1,1
In a Big Country,Big Country,1983,In a Big Country by Big Country,1,1,2,2
Rock Around the Clock,Bill Haley,1955,Rock Around the Clock by Bill Haley,1,1,1,1
AIN'T NO SUNSHINE,Bill Withers,1971,AIN'T NO SUNSHINE by Bill Withers,1,1,1,1
Cradle of Love,Billy Idol,1990,Cradle of Love by Billy Idol,1,1,6,6
Dancing With Myself,Billy Idol,1980,Dancing With Myself by Billy Idol,1,1,20,20
Eyes Without a Face,Billy Idol,1984,Eyes Without a Face by Billy Idol,1,1,2,2
Mony Mony,Billy Idol,,Mony Mony by Billy Idol,1,0,21,0
Rebel Yell,Billy Idol,1984,Rebel Yell by Billy Idol,1,1,89,89
White Wedding,Billy Idol,1982,White Wedding by Billy Idol,1,1,84,84
Allentown,Billy Joel,1982,Allentown by Billy Joel,1,1,1,1
Big Shot,Billy Joel,1978,Big Shot by Billy Joel,1,1,27,27
Captain Jack,Billy Joel,1973,Captain Jack by Billy Joel,1,1,7,7
Don't Ask Me Why,Billy Joel,,Don't Ask Me Why by Billy Joel,1,0,2,0
Goodnight Saigon,Billy Joel,1983,Goodnight Saigon by Billy Joel,1,1,1,1
It's Still Rock And Roll To Me,Billy Joel,1980,It's Still Rock And Roll To Me by Billy Joel,1,1,22,22
Miami 2017 {seen The Lights Go Out On Broadway} (live 1,Billy Joel,1976,Miami 2017 {seen The Lights Go Out On Broadway} (live 1 by Billy Joel,1,1,5,5
Movin' Out (Anthony's Song),Billy Joel,1977,Movin' Out (Anthony's Song) by Billy Joel,1,1,26,26
My Life,Billy Joel,1978,My Life by Billy Joel,1,1,11,11
New York State Of Mind,Billy Joel,1976,New York State Of Mind by Billy Joel,1,1,2,2
Only The Good Die Young,Billy Joel,1977,Only The Good Die Young by Billy Joel,1,1,21,21
Piano Man,Billy Joel,1973,Piano Man by Billy Joel,1,1,37,37
Prelude/angry Young Man,Billy Joel,,Prelude/angry Young Man by Billy Joel,1,0,1,0
Scenes From An Italian Restaurant,Billy Joel,1977,Scenes From An Italian Restaurant by Billy Joel,1,1,3,3
SHE'S ALWAYS A WOMAN,Billy Joel,1977,SHE'S ALWAYS A WOMAN by Billy Joel,1,1,1,1
Sometimes A Fantasy,Billy Joel,1980,Sometimes A Fantasy by Billy Joel,1,1,3,3
The Ballad Of Billy The Kid,Billy Joel,1973,The Ballad Of Billy The Kid by Billy Joel,1,1,2,2
The Stranger,Billy Joel,1977,The Stranger by Billy Joel,1,1,5,5
You May Be Right,Billy Joel,1980,You May Be Right by Billy Joel,1,1,30,30
Baby Come Back,Billy Rankin,,Baby Come Back by Billy Rankin,1,0,1,0
Everybody Wants You,Billy Squier,,Everybody Wants You by Billy Squier,1,0,59,0
In the Dark,Billy Squier,,In the Dark by Billy Squier,1,0,24,0
Lonely Is the Night,Billy Squier,1981,Lonely Is the Night by Billy Squier,1,1,80,80
My Kinda Lover,Billy Squier,,My Kinda Lover by Billy Squier,1,0,22,0
Rock Me Tonight,Billy Squier,1984,Rock Me Tonight by Billy Squier,1,1,1,1
She's a Runner,Billy Squier,,She's a Runner by Billy Squier,1,0,1,0
The Stroke,Billy Squier,1981,The Stroke by Billy Squier,1,1,83,83
Children Of The Sun,Billy Thorpe,,Children Of The Sun by Billy Thorpe,1,0,2,0
Fairies Wear Boots,Black Sabbath,1970,Fairies Wear Boots by Black Sabbath,1,1,1,1
Heaven and Hell,Black Sabbath,1980,Heaven and Hell by Black Sabbath,1,1,1,1
Iron Man,Black Sabbath,1972,Iron Man by Black Sabbath,1,1,40,40
N.i.b.,Black Sabbath,1970,N.i.b. by Black Sabbath,1,1,8,8
Neon Knights,Black Sabbath,1980,Neon Knights by Black Sabbath,1,1,1,1
Paranoid,Black Sabbath,1970,Paranoid by Black Sabbath,1,1,105,105
Sweet Leaf,Black Sabbath,1971,Sweet Leaf by Black Sabbath,1,1,34,34
The Wizard,Black Sabbath,1970,The Wizard by Black Sabbath,1,1,1,1
War Pigs,Black Sabbath,1970,War Pigs by Black Sabbath,1,1,38,38
Highway Song,Blackfoot,,Highway Song by Blackfoot,1,0,17,0
"Train, Train",Blackfoot,1979,"Train, Train by Blackfoot",1,1,25,25
Can't Find My Way Home,Blind Faith,1969,Can't Find My Way Home by Blind Faith,1,1,4,4
Presence of the Lord,Blind Faith,1969,Presence of the Lord by Blind Faith,1,1,1,1
No Rain,Blind Melon,1992,No Rain by Blind Melon,1,1,2,2
Presence of the Lord,Blind Melon,,Presence of the Lord by Blind Melon,1,0,2,0
All the Small Things,Blink-182,1999,All the Small Things by Blink-182,1,1,1,1
Call Me,Blondie,1980,Call Me by Blondie,1,1,26,26
Heart of Glass,Blondie,1978,Heart of Glass by Blondie,1,1,11,11
One Way Or Another,Blondie,1978,One Way Or Another by Blondie,1,1,21,21
(Don't Fear) The Reaper,Blue Oyster Cult,1976,(Don't Fear) The Reaper by Blue Oyster Cult,1,1,99,99
Bucks Boogie,Blue Oyster Cult,,Bucks Boogie by Blue Oyster Cult,1,0,1,0
Burnin' for You,Blue Oyster Cult,1981,Burnin' for You by Blue Oyster Cult,1,1,107,107
Godzilla,Blue Oyster Cult,1977,Godzilla by Blue Oyster Cult,1,1,9,9
I Love the Night,Blue Oyster Cult,1977,I Love the Night by Blue Oyster Cult,1,1,2,2
Summertime Blues,Blue Oyster Cult,,Summertime Blues by Blue Oyster Cult,1,0,1,0
Song 2,Blur,1997,Song 2 by Blur,1,1,3,3
Just Like A Woman,Bob Dylan,1966,Just Like A Woman by Bob Dylan,1,1,1,1
Knockin' On Heaven's Door,Bob Dylan,1973,Knockin' On Heaven's Door by Bob Dylan,1,1,22,22
Like a Rolling Stone,Bob Dylan,1965,Like a Rolling Stone by Bob Dylan,1,1,3,3
Positively 4th Street,Bob Dylan,1965,Positively 4th Street by Bob Dylan,1,1,3,3
Subterranean Homesick Blues,Bob Dylan,1965,Subterranean Homesick Blues by Bob Dylan,1,1,1,1
Tangled Up In Blue,Bob Dylan,1975,Tangled Up In Blue by Bob Dylan,1,1,5,5
Exodus,Bob Marley,,Exodus by Bob Marley,1,0,1,0
Jamming,Bob Marley,,Jamming by Bob Marley,1,0,5,0
"No Woman, No Cry",Bob Marley,1975,"No Woman, No Cry by Bob Marley",1,1,1,1
One Love,Bob Marley,1977,One Love by Bob Marley,1,1,2,2
Stir It Up,Bob Marley,,Stir It Up by Bob Marley,1,0,2,0
WAITIN' FOR THE BUS/JESUS JUST LEFT CHICAGO,ZZ Top,1973,WAITIN' FOR THE BUS/JESUS JUST LEFT CHICAGO by ZZ Top,1,1,2,2
